"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-03-29T06:50:38.000Z","text","승자는 눈을 밟아 길을 만들지만. 패자는 눈이 녹기를 기다린다.","","","","",""
"2023-03-29T06:20:47.000Z","text","인생은 어느덧 지나간다.-그러니까 견딜만 하다.","","","","",""
"2023-03-29T05:50:39.000Z","text","불가항력에 대해서는 책임이 없다.","","","","",""
"2023-03-29T05:20:47.000Z","text","미래를 알고 싶으면 먼저 지나간 일들을 살피라.","","","","",""
"2023-03-29T04:50:40.000Z","text","남이 뭐라고 말하든 자신의 성격대로 살라.","","","","",""
"2023-03-29T04:20:50.000Z","text","가르친다는 것은 곧 두 번 이상을 배우는 것이다.","","","","",""
"2023-03-29T03:50:38.000Z","text","머맨(Mermen)은 해저동굴에 출현하지만 그다지 강하지 않은 녀석이지.","","","","",""
"2023-03-29T03:20:46.000Z","text","물의 남신 휴도라(Hudora)","","","","",""
"2023-03-29T02:50:40.000Z","text","부모의 좋은 습관보다 더 좋은 어린이 교육은 없다.","","","","",""
"2023-03-29T02:20:48.000Z","text","창조주 하스터(Hastur)","","","","",""
"2023-03-29T01:50:37.000Z","text","실험은 많이 하면 할수록 좋은 결과를 기대할 수 있다.","","","","",""
"2023-03-29T01:20:46.000Z","text","끝을 맺기를 처음과 같이 하면 실패가 없다.","","","","",""
"2023-03-29T00:50:40.000Z","text","모모스=비웃음의신","","","","2",""
"2023-03-29T00:20:46.000Z","text","그릇된 믿음이 우리의 모든 불행을 자초합니다.","","","","",""
